id,year,year_end,duration_label,category,title,organization,description,country_emoji,country_name
1,2007,2012,"2007 – 2012",education,"B.Sc. Electronics Engineering","University of Nariño (UDENAR) · Pasto, Colombia","Bachelor's degree in Electronics Engineering with focus on control systems, instrumentation, and signal processing. Developed a closed-loop interferometric control system for piezoelectric displacement as B.Sc. thesis.","🇨🇴","Pasto, Colombia"
2,2011,2012,"B.Sc. Thesis",project,"Piezoelectric Displacement Control & Michelson Interferometer","UDENAR – Instrumentation & Intelligent Systems Group","Designed a closed-loop control system for nanometric piezoelectric displacements achieving ±1 nm precision. Built a custom Michelson interferometer setup for characterization and measurement.","🇨🇴","Colombia"
3,2012,2015,"2012 – 2015",education,"M.Sc. Electrical Engineering","PUC-Rio (Pontifical Catholic University of Rio de Janeiro) · Brazil","Master's degree focusing on semiconductor nanostructures, quantum dot characterization, and computational image processing. Developed automated software for AFM image analysis and quantum dot measurement.","🇧🇷","Rio de Janeiro, Brazil"
4,2013,2015,"M.Sc. Research",project,"InAs Quantum Dots Characterization","Semiconductor Laboratory (LabSem), PUC-Rio","Characterized novel semiconductor structures containing InAs quantum dots using optical and morphological methods. Created automated software for AFM image analysis, enabling precise measurement of quantum dot height and density.","🇧🇷","Brazil"
5,2015,2015,"Publications",publication,"Early nucleation stages of low density InAs QDs · Journal of Crystal Growth","+ 2 conference papers at XIV Brazil MRS Meeting","Published key results from M.Sc. research at Brazil MRS and in peer-reviewed journal, covering InAs quantum dot nucleation dynamics and AFM image processing optimization.","🇧🇷","Brazil"
6,2015,2021,"2015 – 2021",education,"Ph.D. Electrical Engineering","PUC-Rio / Fraunhofer ISE · Brazil & Germany","Doctoral research on GaInNAs semiconductor material growth via MOVPE for multi-junction solar cells. Includes a research internship at Fraunhofer ISE in Freiburg, Germany — one of the world's leading solar energy research institutes.","🇧🇷🇩🇪","Brazil · Germany"
7,2017,2017,"Research Stay",work,"Research Internship – MOVPE & Solar Cells","Fraunhofer Institute for Solar Energy Systems (ISE) · Freiburg, Germany","GaInNAs growth using Metal-Organic Vapor Phase Epitaxy (MOVPE) with low decomposition temperature precursors. Characterizations via AFM, Photoluminescence, and ECV profiling for next-generation multi-junction solar cells.","🇩🇪","Freiburg, Germany"
8,2017,2017,"Publications",publication,"Ultramicroscopy Journal · SBMicro · DGKK Conference","3 publications in 2017","Optimization of digital image processing to determine quantum dots height from AFM (Ultramicroscopy), solar cell contact grid optimization (SBMicro), and GaInNAs growth results at DGKK Germany.","🇧🇷🇩🇪","Brazil · Germany"
9,2018,2018,"Publication",publication,"Solar Cell Contact Grid Optimization – CBENS 2018","VII Congresso Brasileiro de Energia Solar","Genetic algorithm optimization of metallic finger grid contacts for solar cell front electrical contacts — extending prior SBMicro work with energy solar focus.","🇧🇷","Brazil"
10,2019,2019,"Book Chapter",publication,"Chapter in 'Energia no Brasil' – Editora Poisson","Solar cell contact grid optimization via genetic algorithms","Published research on genetic algorithm-based optimization of finger grid contacts for solar cells as a book chapter in a Brazilian energy engineering anthology.","🇧🇷","Brazil"
11,2019,2023,"2019 – 2023",work,"Research Engineer – Machine Learning & AI","Applied Computational Intelligence Lab (ICA), PUC-Rio · Brazil","Led development of ML systems including chest X-ray COVID-19 classification (web service), Cognitive Search NLP platform, AI synthetic data generation pipelines, and Django-based API deployments. Supervised teams across multiple projects.","🇧🇷","Rio de Janeiro, Brazil"
12,2020,2020,"Preprint",publication,"COVID-19 Chest X-Ray Classification – arXiv 2020","Deep Learning · Web Service · ICA PUC-Rio","Pre-print introducing a free web service for fast COVID-19 diagnosis from chest X-ray images using deep learning. Published in arXiv and later expanded for the ICCSA 2022 proceedings.","🇧🇷","Brazil"
13,2021,2021,"Patent",award,"Patent: Method for Extracting and Structuring Information","INPI Brazil – BR 10 2021 023977-8","Filed and granted Brazilian patent for an NLP-based method for information extraction and structuring — core technology underlying the Cognitive Search platform developed at ICA/PUC-Rio.","🇧🇷","Brazil"
14,2021,2021,"2 Publications",publication,"Journal of Crystal Growth · SBMicro 2021","Nitrogen/carbon incorporation in MOVPE + e-mulate software","Published Ph.D. thesis results in Journal of Crystal Growth (MOVPE nitrogen/carbon incorporation) and e-mulate optoelectronic simulation software at SBMicro 2021 symposium.","🇧🇷🇩🇪","Brazil · Germany"
15,2022,2022,"Industry Role",work,"ML Engineer – Object Detection & Computer Vision","Lucro Colombia · Colombia","End-to-end development of object detection models using TensorFlow 2 Object Detection API. Model optimization to ONNX/Float16 and TensorRT for production deployment via Docker CI/CD pipelines.","🇨🇴","Colombia"
16,2022,2022,"Publication",publication,"COVID-19 X-Ray Classification – ICCSA 2022 / Springer LNCS","Lecture Notes in Computer Science, vol 13375. Springer, Cham.","Extended version of the COVID-19 web service paper published at ICCSA in Springer's LNCS series.","🌍","International"
17,2022,2022,"Research Role",work,"Researcher – Laser Performance Optimization","University of Sherbrooke · Sherbrooke, Canada","Optimization of multi-junction laser architectures, waveguide structures, and tunnel diodes. Research combining theoretical simulations with practical cleanroom fabrication for high-performance semiconductor lasers.","🇨🇦","Sherbrooke, Canada"
18,2023,2023,"5+ Publications",publication,"SBMicro · IEEE ColCACI · Brazilian Physical Society · Humanities Congress","Multidisciplinary output in 2023","Highly productive year: quantum Bragg mirror detector results (SBMicro, Autumn Meeting), Cognitive Search (IEEE ColCACI), and invited talks at the XX International Humanities Congress in Bucaramanga, Colombia.","🇧🇷🇨🇴","Brazil · Colombia"
19,2023,2024,"Education Role",work,"ML Instructor & Mentor","Escalab Academy · Dominican Republic","Designed and delivered immersive programs covering Python programming, data science, deep learning, and AI ecosystem architecture. Mentored professionals transitioning into data science careers.","🇩🇴","Dominican Republic"
20,2023,2023,"Invited Speaker",award,"XX International Humanities Congress – Keynote & Panel","USTA Bucaramanga – 'Cyborg: The Human Condition in a Transhumanist World'","Invited to present on Ethical and Social Challenges in the Age of Human Enhancement and to participate in a panel discussion at a prestigious international humanities congress in Colombia.","🇨🇴","Bucaramanga, Colombia"
21,2023,2026,"Ongoing",project,"Quantum Bragg Mirror Detector Optimization (GA)","UFRJ – Federal University of Rio de Janeiro","Genetic algorithm-based optimization of quantum Bragg mirror photodetectors — mapping oscillator strength, optimizing layer dimensions, and publishing results in top venues including APL Electronic Devices (2026).","🇧🇷","Brazil"
22,2024,2024,"Ongoing",project,"Transformer-based Proxy System for Reservoir Simulation","ICA – Applied Computational Intelligence Lab, PUC-Rio","Developed a transformer ML proxy system to predict oil and gas reservoir production, replacing time-intensive CMG simulations. Built HDF5-structured datasets from thousands of reservoir simulations using SLURM HPC.","🇧🇷","Brazil"
23,2025,2025,"Invited Speaker",award,"XI UNADE International Symposium – Keynote Speaker","'National Security and Trade: Strategy for Sustainable Development' · Santo Domingo","Keynote presentation on Cybersecurity as a Pillar of Sustainable Development at an international symposium at Universidad Nacional de Educación (UNADE), Dominican Republic.","🇩🇴","Dominican Republic"
24,2025,2025,"Publications",publication,"SBMicro 2025 (Manaus) · MIOMD Vienna · UNADE Symposium","3 publications / presentations in 2025","X-ray diffraction of quantum Bragg mirror detectors designed by AI (SBMicro, Manaus), Genetic algorithm quantum mirror optimization (MIOMD, Vienna), and cybersecurity talk at UNADE International Symposium.","🇧🇷🇦🇹🇩🇴","Brazil · Austria · Dominican Republic"
25,2026,2026,"Present",publication,"APL Electronic Devices · Journal of Integrated Circuits and Systems","2 peer-reviewed journal articles in 2026","Genetic algorithm optimization of quantum Bragg mirror detectors (APL Electronic Devices) and X-Ray Diffraction of Infrared Quantum Bragg Mirror Detector Structures Designed by GA (JICS) — consolidating years of nanotech research.","🇧🇷","Brazil"
