Fecha,InvoicedQuantity,LineExtensionAmount,Producto,Item_ID,PrecioBase,Price_BaseQuantity,TaxTotal_Amount,TaxSubtotal_TaxableAmount,Pc_Imp,TaxSubtotal_Category_TaxScheme_ID,Charge_Indicator,Pc_Descuento,Charge_Amount,Charge_BaseAmount,Precio_comparar,Precio_Normal,Almacen,total,total_imp,nombre_original,Marca,Categoria,Sabor,Tamano,Tamano_num,Unidad,Cantidad,Sobra_nombre,Precio_Unidad
10 Apr 2024,1.0,5882.35,12 MINI MARCADORES LAVABLES P/,667888179862,7000.0,1,1117.65,5882.35,19.0,01,0,0.0,0,0,8118,8118.0,Dollarcity,7000.0,8117.65,12 MINI MARCADORES LAVABLES P/,-,-,-,-,-,-,-,-,-
17 May 2024,1.0,10084.03,3D JUGUETE FIDGET SENSORIAL,667888521432,12000.0,1,1915.97,10084.03,19.0,01,0,0.0,0,0,13916,13916.0,Dollarcity,12000.0,13915.97,3D JUGUETE FIDGET SENSORIAL,-,-,-,-,-,-,-,-,-
05 Jan 2024,1.0,17227.00,ACEITE DIANA*2000ml C/VITAMINAS A/D,057148,17227.0,1.000,3273.0,17227.00,19.0,01,0,0.0,0,0,20500,20500.0,Mercamio,17227.0,20500.0,ACEITE DIANA*2000ml C/VITAMINAS A/D,-,Aceite,-,-,-,-,-,-,-
01 Oct 2023,1.0,17227.00,ACEITE DIANA*2000ml C/VITAMINAS A/D,057148,17227.0,1.000,3273.0,17227.00,19.0,01,0,0.0,0,0,20500,20500.0,Mercamio,17227.0,20500.0,ACEITE DIANA*2000ml C/VITAMINAS A/D,-,Aceite,-,-,-,-,-,-,-
15 Apr 2024,1.0,18445.00,ACEITE GIRASOL CADADIA*3000ml,030388,18445.0,1.000,3505.0,18445.00,19.0,01,0,0.0,0,0,21950,21950.0,Mercamio,18445.0,21950.0,ACEITE GIRASOL CADADIA*3000ml,-,Aceite,-,-,-,-,-,-,-
25 Nov 2023,1.0,9454.00,ACEITE OLEOCALI*1000ml,004745,9454.0,1.000,1796.0,9454.00,19.0,01,0,0.0,0,0,11250,11250.0,Mercamio,9454.0,11250.0,ACEITE OLEOCALI*1000ml,-,Aceite,-,-,-,-,-,-,-
04 Nov 2023,1.0,33605.00,ACEITE OLIVA EX/VIR S/FELIPE*1000ml,038937,33605.0,1.000,6385.0,33605.00,19.0,01,0,0.0,0,0,39990,39990.0,Mercamio,33605.0,39990.0,ACEITE OLIVA EX/VIR S/FELIPE*1000ml,-,Aceite,-,-,-,-,-,-,-
07 Jun 2024,1.0,27017.00,ACEITE SOYA MERCAMIO*5000ml,042094,27017.0,1.000,5133.0,27017.00,19.0,01,0,0.0,0,0,32150,32150.0,Mercamio,27017.0,32150.0,ACEITE SOYA MERCAMIO*5000ml,-,-,-,-,-,-,-,-,-
15 Jan 2024,1.0,6400.00,AGUA BRISA*600ml*6und PET,067200,6400.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6400,6400.0,Mercamio,6400.0,6400.0,AGUA BRISA*600ml*6und PET,-,Agua,-,-,-,-,-,-,-
04 Feb 2024,1.0,3990.00,AGUA MANANTIAL*1500ml,023414,3990.0,1.000,0.0,0,0.0,0,0,0.0,0,0,3990,3990.0,Mercamio,3990.0,3990.0,AGUA MANANTIAL*1500ml,-,Agua,-,-,-,-,-,-,-
